醫事機構代碼,x,y
2341110014,120.404723,23.326329
2341120010,120.262393,23.231535
2341130016,120.346879,23.224672
2341140012,120.3161,23.193068
2341150018,120.356947,23.119268
2341160014,120.203262,23.12328
2341170010,120.138676,23.140159
2341180016,120.159409,23.199565
2341190012,120.1252,23.270354
2341200013,120.295069,23.079004
2341210019,120.237375,23.121552
2341220015,120.358174,23.098585
2341230011,120.459224,23.120348
2341240017,120.48611,23.174088
2341250013,120.479266,23.044402
2341260019,120.408886,23.056602
2341270015,120.251461,22.972778
2341280011,120.294344,22.967445
2341290017,120.327248,22.963028
2341300018,120.361824,22.965212
2341310014,120.261162,23.016518
2342010013,120.363023,22.627213
2342020019,120.291073,22.796115
2342030015,120.479888,22.889792
2342040011,120.541286,22.895215
2342050017,120.395238,22.507664
2342060013,120.393595,22.604531
2342070019,120.414039,22.68384
2342080015,120.351568,22.700797
2342100012,120.362628,22.663135
2342110018,120.309276,22.759554
2342120014,120.361659,22.79303
2342130010,120.359378,22.873011
2342140016,120.327524,22.882809
2342150012,120.258937,22.855301
2342160018,120.222385,22.905245
2342170014,120.185222,22.88801
2342180010,120.225365,22.818791
2342190016,120.250575,22.782146
2342200017,120.267641,22.764651
2342210013,120.633315,22.998336
2342220019,120.587453,23.083935
2342230015,120.538613,22.976932
2342240011,120.453989,22.924516
2342250017,120.664111,22.88641
2342260013,120.764176,23.158453
2342270019,120.702305,23.246904
2343010017,120.482435,22.665064
2343020013,120.542229,22.553018
2343030019,120.445567,22.467261
2343040015,120.7447055,22.0031504
2343050011,120.488551,22.594946
2343060017,120.526801,22.6766
2343070013,120.527497,22.651064
2343080019,120.489255,22.733454
2343090015,120.493726,22.773596
2343100016,120.578616,22.760308
2343110012,120.596287,22.819426
2343120018,120.574507,22.571746
2343130014,120.569014,22.612404
2343140010,120.543137,22.586369
2343150016,120.550083,22.470451
2343160012,120.593037,22.365644
2343170018,120.460911,22.5436
2343180014,120.508427,22.511666
2343190010,120.509698,22.431094
2343200011,120.502965,22.48607
2343210017,120.549584,22.414263
2343220013,120.378547,22.348526
2343230019,120.712515,22.069865
2343240015,120.83805,22.018982
2343250011,120.652705,22.26464
2343260017,120.653575,22.7146
2343270013,120.726129,22.749889
2343280019,120.649846,22.708797
2343290015,120.632685,22.592122
2343300016,120.631987,22.525839
2343310012,120.625502,22.37029
2343320018,120.705239,22.201626
2343330014,120.746872,22.101049
2344010011,119.567111,23.56902
2344011027,119.600866,23.529357
2344011036,119.583648,23.568128
2344020017,119.66137,23.583931
2344030013,119.598156,23.666692
2344030022,119.659897,23.660077
2344030031,119.613817,23.740565
2344040019,119.510239,23.599252
2344050015,119.497221,23.361605
2344050024,119.521569,23.361504
2344060011,119.430963,23.204103
2345010015,121.617151,23.991433
2345020011,121.451367,23.74537
2345030017,121.314916,23.336409
2345040013,121.605262,24.030874
2345050019,121.563847,23.973807
2345060015,121.506846,23.869491
2345070011,121.42594,23.671897
2345090013,121.378958,23.499786
2345100014,121.24906,23.178473
2345110010,121.63337,24.126902
2345120016,121.409164,23.715578
2345130012,121.3020248,23.3459467
2346010019,121.156238,22.750382
2346020015,121.379504,23.099927
2346030011,121.163854,23.049569
2346040017,121.088069,22.78207
2346050013,120.903936,22.355929
2346060019,121.007423,22.615376
2346070015,121.303079,22.968461
2346080011,121.4517023,23.318852
2346090017,121.136067,22.909955
2346100018,121.214811,23.121687
2346110014,121.469607,22.673186
2346120010,121.085455,22.90217
2346130016,121.176693,23.100942
2346140012,120.883585,22.294881
2346150018,120.960646,22.53248
2346160014,121.554615,22.024926
2390010010,118.317802,24.436323
2390020016,118.413257,24.489498
2390030030,118.389422,24.437676
2390040518,118.337384,24.44479
2390050032,118.239531,24.435193
2391020010,119.996306,26.223091
2391030016,119.933082,25.971575
2391030026,119.973063,25.961129
2391040012,120.49044,26.367006
5901010076,121.555235,25.052136
5901010085,121.555561,25.05214
5901010094,121.558167,25.052703
5901010165,121.547337,25.049139
5901010174,121.546586,25.059484
5901010290,121.544911,25.063268
5901010496,121.544918,25.062984
5901010576,121.560748,25.053637
5901011662,121.559049,25.058364
5901011751,121.546142,25.047971
5901011975,121.547103,25.059943
5901012203,121.544742,25.050063
5901012383,121.56066,25.048359
5901012409,121.558488,25.058709
5901012490,121.565481,25.061285
5901012507,121.546812,25.053739
5901012516,121.546113,25.056197
5901012561,121.55355,25.047007
5901012570,121.564944,25.061185
5901012598,121.576644,25.050207
5901012632,121.555325,25.049137
5901012650,121.545925,25.047242
5901012669,121.569691,25.051062
5901012712,121.558111,25.048117
5901012749,121.576092,25.04979
5901012758,121.566945,25.05114
5901012767,121.560761,25.048943
5901012918,121.559562,25.051715
5901012963,121.556217,25.056197
5901013095,121.566253,25.052363
5901013120,121.560723,25.053457
5901013139,121.553706,25.045949
5901013148,121.556636,25.048196
5901013175,121.550039,25.055737
5901013200,121.553167,25.051846
5901013246,121.554815,25.047992
5901013308,121.547743,25.059446
5901013326,121.563097,25.060784
5901013344,121.56693,25.05931
5901013362,121.563957,25.048936
5901013371,121.575529,25.050177
5901013399,121.569309,25.051076
5901013433,121.553504,25.046074
5901013442,121.54657,25.048043
5901013451,121.577035,25.050743
5901013460,121.565969,25.057162
5901013504,121.550038,25.055685
5901013513,121.552229,25.057856
5901013522,121.560139,25.058776
5901013531,121.566247,25.052005
5901013540,121.553124,25.057129
5901013559,121.55969,25.058805
5901020376,121.542921,25.022541
5901020385,121.55479,25.040657
5901020554,121.528509,25.02271
5901020563,121.542559,25.042767
5901020590,121.532433,25.018166
5901020616,121.545445,25.034013
5901020634,121.546722,25.03762
5901020652,121.552389,25.025124
5901020661,121.551733,25.030107
5901020689,121.545447,25.028455
5901020698,121.531295,25.01903
5901020732,121.540809,25.028659
5901020787,121.531585,25.025568
5901020858,121.529203,25.022563
5901020876,121.555477,25.030555
5901021382,121.554342,25.021742
5901022601,121.541207,25.041353
5901022898,121.528994,25.03289
5901023073,121.529407,25.033154
5901023091,121.540265,25.041255
5901023215,121.551984,25.03103
5901023304,121.529038,25.032246
5901023313,121.551941,25.034331
5901023331,121.55613,25.037082
5901023386,121.545787,25.043493
5901023519,121.541193,25.02297
5901023523,121.546319,25.037307
5901023591,121.554875,25.021906
5901023680,121.546392,25.043029
5901023706,121.553997,25.036542
5901023724,121.534662,25.034545
5901023831,121.538211,25.034806
5901023886,121.555605,25.035492
5901023902,121.550726,25.024615
5901024007,121.5214961,25.0257553
5901024098,121.540647,25.028661
5901024178,121.540036,25.041855
5901024212,121.544997,25.033543
5901024221,121.554935,25.020855
5901024310,121.536221,25.025663
5901024481,121.534458,25.034006
5901024490,121.557374,25.036183
5901024525,121.5541,25.036539
5901024543,121.531152,25.023385
5901024678,121.544742,25.033159
5901024696,121.551094,25.018343
5901024712,121.539578,25.028648
5901024721,121.543998,25.028319
5901024758,121.553977,25.02901
5901024767,121.553459,25.019584
5901024838,121.534581,25.040085
5901024856,121.553185,25.036553
